cve_id,severity,cvss_score,cwes,affected_asset_count,published
CVE-2021-30004,medium,5.3,CWE-20,21,2021-04-02
CVE-2022-23303,critical,9.8,CWE-203,21,2022-01-17
CVE-2023-3592,high,7.5,CWE-401,21,2023-10-02
CVE-2023-3663,high,8.8,CWE-940,21,2023-08-03
CVE-2023-3665,high,7.8,CWE-74;CWE-94,21,2023-10-04
CVE-2022-0934,high,7.5,CWE-416,20,2022-08-29
CVE-2023-28450,high,7.5,,20,2023-03-15
CVE-2022-33967,high,7.8,CWE-787,19,2022-07-20
CVE-2016-7406,critical,9.8,CWE-20,18,2017-03-03
CVE-2016-7407,critical,9.8,CWE-20,18,2017-03-03
CVE-2016-7408,high,8.8,CWE-284,18,2017-03-03
CVE-2017-13077,medium,6.8,CWE-330,18,2017-10-17
CVE-2017-13078,medium,5.3,CWE-323;CWE-330,18,2017-10-17
CVE-2018-14526,medium,6.5,CWE-924,18,2018-08-08
CVE-2020-25684,low,3.7,CWE-358,17,2021-01-20
CVE-2021-3448,medium,4.0,CWE-358,17,2021-04-08
CVE-2018-19052,high,7.5,CWE-22,16,2018-11-07
CVE-2019-11072,critical,9.8,CWE-190,16,2019-04-10
CVE-2021-36369,high,7.5,CWE-287,16,2022-10-12
CVE-2016-10708,high,7.5,CWE-476,15,2018-01-21
CVE-2018-15473,medium,5.3,CWE-362,15,2018-08-17
CVE-2019-11059,critical,9.8,CWE-119,15,2019-05-10
CVE-2019-13103,high,7.1,CWE-674,15,2019-07-29
CVE-2019-13106,high,7.8,CWE-787,15,2019-08-06
CVE-2019-6111,medium,5.9,CWE-22,15,2019-01-31
CVE-2015-7547,high,8.1,CWE-119,14,2016-02-18
CVE-2018-11236,critical,9.8,CWE-190;CWE-787,14,2018-05-18
CVE-2020-15778,high,7.4,CWE-78,14,2020-07-24
CVE-2021-33574,critical,9.8,CWE-416,14,2021-05-25
CVE-2021-41617,high,7.0,,14,2021-09-26
CVE-2019-20372,medium,5.3,CWE-444,13,2020-01-09
CVE-2019-9511,high,7.5,CWE-400;CWE-770,13,2019-08-13
CVE-2019-9513,high,7.5,CWE-400,13,2019-08-13
CVE-2021-42374,medium,5.3,CWE-125,13,2021-11-15
CVE-2021-42378,high,7.2,CWE-416,13,2021-11-15
CVE-2021-42379,high,7.2,CWE-416,13,2021-11-15
CVE-2021-42380,high,7.2,CWE-416,13,2021-11-15
CVE-2021-42386,high,7.2,CWE-416,13,2021-11-15
CVE-2021-23017,high,7.7,CWE-193,12,2021-06-01
CVE-2017-1000112,high,7.0,CWE-362,11,2017-10-05
CVE-2018-5333,medium,5.5,CWE-476,11,2018-01-11
CVE-2021-42375,medium,5.5,CWE-159,11,2021-11-15
CVE-2021-42376,medium,5.5,CWE-476,11,2021-11-15
CVE-2016-2147,high,7.5,CWE-190,10,2017-02-09
CVE-2017-16544,high,8.8,CWE-94,10,2017-11-20
CVE-2018-1000500,high,8.1,CWE-295,10,2018-06-26
CVE-2022-42003,high,7.5,CWE-502,5,2022-10-02
CVE-2022-42004,high,7.5,CWE-502,5,2022-10-02
CVE-2020-36518,high,7.5,CWE-787,4,2022-03-11
CVE-2019-2602,high,7.5,CWE-400,3,2019-04-23
CVE-2019-2699,critical,9.0,,3,2019-04-23
CVE-2020-2803,high,8.3,,3,2020-04-15
CVE-2021-31571,critical,9.8,CWE-190,3,2021-04-22
CVE-2021-31572,critical,9.8,CWE-190,3,2021-04-22
CVE-2022-22965,critical,9.8,CWE-94,3,2022-04-01
CVE-2022-22968,medium,5.3,CWE-178,3,2022-04-14
CVE-2022-22970,medium,5.3,CWE-770,3,2022-05-12
CVE-2022-42252,high,7.5,CWE-444,3,2022-11-01
CVE-2023-20860,high,7.5,,3,2023-03-27
CVE-2023-20861,medium,6.5,CWE-400,3,2023-03-23
CVE-2023-28708,medium,4.3,CWE-523,3,2023-03-22
CVE-2021-25122,high,7.5,CWE-200,2,2021-03-01
CVE-2021-30640,medium,6.5,CWE-116,2,2021-07-12
CVE-2021-32020,critical,9.8,CWE-119,2,2021-05-03
CVE-2021-41079,high,7.5,CWE-20;CWE-835,2,2021-09-16
CVE-2021-43997,high,7.8,,2,2021-11-17
CVE-2021-45046,critical,9.0,CWE-917,2,2021-12-14
CVE-2021-45105,medium,5.9,CWE-20;CWE-674,2,2021-12-18
CVE-2022-21426,medium,5.3,,2,2022-04-19
CVE-2022-21449,high,7.5,,2,2022-04-19
CVE-2022-21496,medium,5.3,,2,2022-04-19
CVE-2019-20330,critical,9.8,CWE-502,1,2020-01-03
CVE-2020-8840,critical,9.8,CWE-502,1,2020-02-10
CVE-2021-44228,critical,10.0,CWE-20;CWE-400;CWE-502;CWE-917,1,2021-12-10
CVE-2023-34035,medium,5.3,CWE-863,1,2023-07-18
